,Unnamed: 0,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
165850,165850,3294378,4167741,5000,5000,5000.0, 36 months,18.49,182.0,D,D2,Bradford & Barthel,< 1 year,RENT,50000.0,Not Verified,Feb-13,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3294378,,debt_consolidation,Debt consolidation,946xx,CA,17.11,0.0,Jul-00,1.0,,,10.0,0.0,11940,82.3,25.0,f,0.0,0.0,4186.0,4186.0,2870.94,1315.06,0.0,0.0,0.0,Jan-15,182.0,,Feb-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,16038.0,,,,,,,,,,,,14500.0,,,
172728,172728,3108669,3781259,20125,20125,20075.0, 36 months,14.33,691.06,C,C1,Lesley Senior Communities,3 years,RENT,45000.0,Source Verified,Jan-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3108669,  Borrower added on 01/10/13 > I would really like to get this loan to pay off all my credit cards and be stress free forever. This will give me a peace of mind.<br>,debt_consolidation,Debt consolidation,940xx,CA,25.25,0.0,Nov-02,0.0,,,13.0,0.0,21277,74.7,23.0,f,699.63,697.87,24162.92,24102.92,19425.37,4737.55,0.0,0.0,0.0,Dec-15,691.06,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,21277.0,,,,,,,,,,,,28500.0,,,
219828,219828,1246495,1488585,10000,10000,10000.0, 36 months,12.12,332.72,B,B3,Amphitheater Public Schools,10+ years,RENT,36880.0,Not Verified,Apr-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1246495,"  Borrower added on 04/14/12 > paying off credit cards and fixing car.<br><br> Borrower added on 04/14/12 > Pay off credit cards and fix car yea!<br><br>  Borrower added on 04/15/12 > I am serious about wanting to pay off my credit cards and never open another one; I've learned this time.  I would appreciate investors helping me lower my interest rates and only having one payment would be so wonderful and help me out.  I am a good person who works hard. Please trust in me. Thanks<br><br>  Borrower added on 04/18/12 > I just wanted to say I appreciate all the investors who are helping me with my goal of paying off my credit cards.  I am slowly reaching my goal and can't wait for the day that I call and say &quot;close my account&quot; to all my credit card companies. One payment, lower interest.  Thank you, Thank you.<br><br>  Borrower added on 04/21/12 > Thank you again to all the investors.  I can almost see the day in the next week or so where I will be able to say the 3 words I've been wanting to say for years &quot;close my account&quot;.  I  want to express how happy I am to all of you who have invested in my loan; and to the final few to help THANK YOU.<br>",debt_consolidation,Out of debt finally,857xx,AZ,17.54,0.0,Oct-01,0.0,,,10.0,0.0,15171,84.3,11.0,f,0.0,0.0,11975.76457,11975.76,10000.0,1975.76,0.0,0.0,0.0,May-15,339.38,,Apr-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
229952,229952,1082144,1319051,29000,29000,28942.43041, 36 months,8.9,920.85,A,A5,PowerSecure,2 years,MORTGAGE,88000.0,Verified,Jan-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1082144,  Borrower added on 12/29/11 > Plan-consolidate debt and become debt free in 36 months-excluding mortgage. Pay debts on time-never late. Job is secure<br>,debt_consolidation,I'm Debt Free!,349xx,FL,23.56,0.0,Nov-98,0.0,,,8.0,0.0,18223,54.4,22.0,f,0.0,0.0,31657.73,31593.68,29000.0,2657.73,0.0,0.0,0.0,Apr-13,18780.99,,Apr-13,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
234764,234764,37107213,39869939,16000,16000,16000.0, 36 months,10.49,519.97,B,B3,CIS Educator/Curriculum Development Sr.,2 years,RENT,87500.0,Verified,Dec-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37107213,,debt_consolidation,Debt consolidation,981xx,WA,14.8,0.0,Jun-02,3.0,,,19.0,0.0,12802,25.1,56.0,f,10790.99,10790.99,6750.29,6750.29,5209.01,1541.28,0.0,0.0,0.0,Jan-16,519.97,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,117632.0,,,,,,,,,,,,51100.0,,,
250510,250510,34884046,37567350,4000,4000,4000.0, 36 months,9.49,128.12,B,B2,Project Controls Manager ,3 years,MORTGAGE,120000.0,Not Verified,Nov-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34884046,,vacation,Vacation,740xx,OK,7.94,0.0,May-86,1.0,26.0,,7.0,0.0,3061,21.7,28.0,w,2577.5,2577.5,1789.46,1789.46,1422.5,366.96,0.0,0.0,0.0,Jan-16,128.12,Feb-16,Jan-16,0.0,37.0,1,INDIVIDUAL,,,,0.0,0.0,170807.0,,,,,,,,,,,,14100.0,,,
262682,262682,33240340,35883577,4725,4725,4725.0, 36 months,20.99,178.0,E,E4,,,MORTGAGE,45500.0,Verified,Nov-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33240340,,medical,Medical expenses,953xx,CA,33.44,2.0,Jan-02,2.0,2.0,108.0,20.0,1.0,7121,57.4,39.0,w,0.0,0.0,1343.6,1343.6,291.09,237.4,0.0,815.11,8.1511,Feb-15,178.0,,Jul-15,0.0,8.0,1,INDIVIDUAL,,,,0.0,0.0,265686.0,,,,,,,,,,,,12400.0,,,
339811,339811,3286478,4058934,6475,6475,6475.0, 36 months,13.98,221.24,C,C3,Special Procedures Tech,10+ years,MORTGAGE,42000.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3286478,,debt_consolidation,Debt consolidation,705xx,LA,24.69,0.0,Sep-94,0.0,,,7.0,0.0,17852,76.3,24.0,w,3751.26,3751.26,3761.08,3761.08,2723.74,1037.34,0.0,0.0,0.0,Dec-15,221.24,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,272940.0,,,,,,,,,,,,23400.0,,,
343322,343322,21421466,23744300,8875,8875,8875.0, 36 months,12.49,296.86,B,B5,,,RENT,19992.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=21421466,,debt_consolidation,Debt consolidation,130xx,NY,28.99,0.0,Aug-08,1.0,47.0,,5.0,0.0,3865,62.3,15.0,w,5093.65,5093.65,5046.62,5046.62,3781.35,1265.27,0.0,0.0,0.0,Dec-15,296.86,Feb-16,Jan-16,0.0,47.0,1,INDIVIDUAL,,,,0.0,0.0,6818.0,,,,,,,,,,,,6200.0,,,
349419,349419,20691496,22963971,12250,12250,12250.0, 36 months,13.35,414.82,C,C2,roll off driver,3 years,OWN,42453.0,Not Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20691496,,debt_consolidation,Debt consolidation,270xx,NC,28.27,0.0,Mar-96,1.0,,,15.0,0.0,19084,55.6,27.0,f,6732.85,6732.85,7466.76,7466.76,5517.15,1949.61,0.0,0.0,0.0,Jan-16,414.82,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,45458.0,,,,,,,,,,,,34300.0,,,
373090,373090,18575483,20738150,30000,30000,30000.0, 60 months,12.49,674.79,B,B5,Attorney,1 year,MORTGAGE,117000.0,Verified,Jun-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18575483,,debt_consolidation,Debt consolidation,442xx,OH,16.86,0.0,Oct-96,0.0,34.0,,25.0,0.0,11678,15.2,51.0,f,0.0,0.0,33559.59,33559.59,30000.0,3559.59,0.0,0.0,0.0,Jun-15,26136.9,,Jul-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,365590.0,,,,,,,,,,,,76700.0,,,
384927,384927,16552352,18664866,6500,6500,6500.0, 36 months,13.35,220.11,C,C2,Teacher/Coach,1 year,RENT,52000.0,Source Verified,May-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16552352,,debt_consolidation,Debt consolidation,751xx,TX,11.86,4.0,Aug-00,2.0,13.0,,13.0,0.0,12125,97.0,44.0,w,0.0,0.0,7463.16,7463.16,6500.0,963.16,0.0,0.0,0.0,Nov-15,441.4,,Jan-16,0.0,40.0,1,INDIVIDUAL,,,,0.0,0.0,156299.0,,,,,,,,,,,,12500.0,,,
407207,407207,14518969,16581268,7000,7000,7000.0, 36 months,14.64,241.43,C,C3,Enterprise Solutions ,2 years,RENT,51000.0,Source Verified,Apr-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14518969,,credit_card,Credit card refinancing,294xx,SC,2.85,0.0,Feb-11,1.0,,,4.0,0.0,4366,94.9,4.0,w,3290.97,3290.97,5070.03,5070.03,3709.03,1361.0,0.0,0.0,0.0,Jan-16,241.43,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,4366.0,,,,,,,,,,,,4600.0,,,
439136,439136,11906021,13898159,9000,9000,8950.0, 36 months,12.99,303.21,B,B5,Sr. Maint. Worker,10+ years,MORTGAGE,72000.0,Not Verified,Feb-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11906021,,debt_consolidation,Debt consolidation,953xx,CA,17.27,0.0,Jul-03,0.0,,,12.0,0.0,9155,78.2,20.0,f,0.0,0.0,9097.43,9046.89,9000.0,97.43,0.0,0.0,0.0,Mar-14,9097.43,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,233445.0,,,,,,,,,,,,11700.0,,,
456555,456555,10608755,12480690,25000,25000,25000.0, 36 months,14.98,866.39,C,C3,Regional Manager,< 1 year,MORTGAGE,104000.0,Verified,Jan-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10608755,,debt_consolidation,Debt consolidation,734xx,OK,12.85,0.0,Aug-84,4.0,78.0,,9.0,0.0,25853,47.2,34.0,w,0.0,0.0,28735.9,28735.9,25000.0,3735.9,0.0,0.0,0.0,Apr-15,16606.44,,Apr-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,37893.0,,,,,,,,,,,,54800.0,,,
